	sampleid	data.cluster
HC4007	HC4007	3
HC4008	HC4008	3
HC4009	HC4009	3
HC4010	HC4010	3
HC4033	HC4033	1
HC4041	HC4041	2
HC4048	HC4048	2
HC4501	HC4501	1
HC4504	HC4504	2
HC4505	HC4505	2
HC4506	HC4506	2
HC4507	HC4507	1
HC4508	HC4508	1
HC4509	HC4509	1
HC4510	HC4510	1
HC4511	HC4511	1
HC4512	HC4512	1
HC4513	HC4513	2
HC4515	HC4515	1
HC4517	HC4517	2
HC4519	HC4519	1
HC4520	HC4520	1
HC4521	HC4521	3
HC4522	HC4522	3
HC4523	HC4523	1
HC4525	HC4525	1
HC4535	HC4535	1
HC4536	HC4536	1
HC4537	HC4537	2
HC4538	HC4538	2
HC4539	HC4539	2
HC4543	HC4543	1
HC4547	HC4547	1
HC4550	HC4550	1
HC5001	HC5001	2
HC5002	HC5002	2
HC5003	HC5003	1
HC5004	HC5004	1
HC5005	HC5005	1
HC5006	HC5006	1
HC5007	HC5007	1
HC5008	HC5008	1
HC5009	HC5009	1
